timestamp,device_id,location,temperature,humidity,gas_level,flame_detected,motion_detected,light_level,is_anomaly
2025-10-11 00:26:41.075336,ESP32_003,Garage,25.406015043676874,56.51572049708406,0.0648101640006978,0,0,330.939854607729,0
2025-10-26 00:11:41.075336,ESP32_003,Living Room,26.53160613535371,40.01394433444493,0.05702989011331586,0,0,182.11746247658485,0
2025-10-08 13:11:41.075336,RPI_001,Bedroom,26.120045679134194,91.86574911811056,0.19643169004469824,0,1,149.09796976308752,0
2025-10-21 03:36:41.075336,ESP32_001,Bedroom,23.07481856904361,56.14066873484436,0.14643952991584097,1,0,415.62798946154845,0
2025-10-20 23:16:41.075336,ESP32_001,Kitchen,22.00920512079362,60.492974252171585,0.1013555476569456,0,1,356.53848977614183,0
2025-10-04 00:06:41.075336,ESP32_002,Bedroom,20.902132866398397,64.34068487183177,0.1548296894591062,1,1,45.15151060755312,0
2025-09-29 17:01:41.075336,ESP32_002,Garage,32.21024675571483,53.22988823209656,0.09208849317445571,1,1,386.8654175585194,0
2025-10-21 00:21:41.075336,ESP32_001,Bedroom,28.170174733841257,60.313684160997084,0.13825135975772587,0,1,157.01341746616043,0
2025-10-26 08:31:41.075336,RPI_001,Living Room,18.655919202778794,51.62893673253088,0.0592506557844945,0,0,157.44341725106287,0
2025-10-22 08:11:41.075336,ESP32_001,Bedroom,30.55612013444101,66.64275204257126,0.15046635525168547,1,0,290.03304179845304,0
2025-10-07 22:46:41.075336,ESP32_003,Kitchen,20.207202491213703,58.18354861093766,0.08820375744573966,0,1,351.74628986510487,0
2025-10-25 14:21:41.075336,ESP32_001,Garage,26.231149830360675,48.5179270802829,0.1458047201008573,0,1,117.94033579585721,0
2025-10-07 17:46:41.075336,ESP32_002,Kitchen,28.303968873207285,60.38078019396459,0.12071334498956957,1,0,385.19735247876116,0
2025-10-12 15:06:41.075336,RPI_001,Garage,22.723704226193874,66.14036263957207,0.13490007937552662,0,0,122.00414325753249,0
2025-10-03 04:41:41.075336,ESP32_001,Living Room,32.23784626483875,37.309227270475986,0.049833727127298416,0,0,329.2189799916472,0
2025-10-15 22:26:41.075336,ESP32_002,Garage,25.283863134008072,78.01045196539334,0.09868518995671796,1,0,144.97989825565213,0
2025-10-29 01:46:41.075336,ESP32_002,Garage,12.517989445187085,86.39034158818377,0.7486865715690482,1,0,1113.4628561031282,1
2025-10-14 06:16:41.075336,ESP32_001,Kitchen,22.44501347699682,38.4296327477665,0.018474356117947136,0,0,409.58855778197534,0
2025-10-11 22:56:41.075336,ESP32_002,Living Room,29.167073088888287,80.02947084076285,0.12638482516500615,0,1,318.91083234751795,0
2025-10-28 19:36:41.075336,ESP32_003,Garage,42.9581336275136,90.79765008900509,0.8859966074750586,1,1,11.427061036391361,1
2025-10-11 11:31:41.075336,ESP32_003,Bedroom,27.07141805836454,58.05919867666905,0.109709045279721,1,0,395.9310391362575,0
2025-10-11 00:56:41.075336,ESP32_002,Kitchen,22.670502578521,56.87422574605309,0.1551138263292675,1,0,399.48157066757256,0
2025-10-11 22:11:41.075336,RPI_001,Living Room,22.962308040421135,42.58235887616698,0.10945497783834257,0,0,337.3151803532851,0
2025-09-29 15:56:41.075336,RPI_001,Bedroom,24.58123111553448,70.81316957768536,0.037226599515379155,0,0,375.30565694111215,0
2025-09-26 02:51:41.075336,ESP32_002,Bedroom,29.433682134224547,61.15596738679908,0.14984787407613098,0,1,250.7498362922187,0
2025-10-01 11:06:41.075336,ESP32_001,Bedroom,20.685166065047902,49.19732940219308,0.10640538009967482,1,0,417.54816046959485,0
2025-09-28 02:16:41.075336,RPI_001,Bedroom,28.379695088643274,59.52141072347243,0.0746798790862833,1,0,385.5124702968458,0
2025-10-07 09:21:41.075336,ESP32_003,Bedroom,21.723509101845732,72.70845621075549,0.13798854295629226,1,0,338.0275897066321,0
2025-09-28 15:51:41.075336,RPI_001,Bedroom,28.095533618405906,64.99558908249203,0.04299014011219409,1,0,261.82632180261123,0
2025-10-22 13:06:41.075336,ESP32_003,Garage,24.51960958120619,85.8727145584531,0.10145674452100367,1,0,507.1595926330253,0
2025-10-10 23:11:41.075336,ESP32_003,Kitchen,26.774326455255565,58.4750032169008,0.13359938700682478,0,0,311.8958863176454,0
2025-09-28 23:31:41.075336,ESP32_001,Bedroom,20.920431577060242,72.1142750363243,0.03862378786808044,0,0,211.18922701184806,0
2025-10-10 05:21:41.075336,ESP32_002,Kitchen,20.443267524729798,40.00013439689709,0.08188327708625685,0,0,324.01569270330583,0
